Stn,date,year,julianweek,month,chl,temp,TKN,TP,Secchi,Kd,TotalPhyto
B,16/05/1972,1972,20,5,17,16.2,0.58,0.0335,1.9,1.25,
B,22/05/1972,1972,20,5,8.3,18.5,0.625,0.039,1.9,1.25,
B,29/05/1972,1972,22,5,12,20,0.705,0.0405,2.1,0.98,
B,5/6/1972,1972,22,6,,19.4,0.6,0.047,1.7,1.12,
B,12/6/1972,1972,24,6,3.6,17,0.72,0.0485,1.5,1.54,
B,19/06/1972,1972,24,6,5,21.2,0.775,0.075,1.6,1.4,
B,26/06/1972,1972,26,6,3.4,19.5,0.85,0.0715,1.5,1.4,
B,4/7/1972,1972,26,7,13,20.5,0.595,0.054,1.6,1.32,
B,10/7/1972,1972,28,7,7,22.3,0.675,0.0585,1.4,1.49,
B,17/07/1972,1972,28,7,13,24.7,0.51,0.0485,1.4,1.43,
B,24/07/1972,1972,30,7,11,25.1,0.84,0.091,1.1,1.49,
B,31/07/1972,1972,30,7,60,23.5,0.99,0.082,1,1.71,
B,8/8/1972,1972,32,8,45,22,1.05,0.12,1,2,
B,14/08/1972,1972,32,8,21,20,0.92,0.0755,1.1,2,
B,21/08/1972,1972,34,8,15,22.1,0.78,0.0555,1.3,1.43,
B,28/08/1972,1972,34,8,27,21.8,0.94,0.0625,0.9,1.87,
B,5/9/1972,1972,36,9,4.6,21,0.97,0.1025,0.9,2.02,
B,11/9/1972,1972,36,9,9.2,20.2,0.905,0.1065,0.9,2.05,
B,18/09/1972,1972,38,9,5.4,19.3,0.99,0.115,0.8,2.56,
B,25/09/1972,1972,38,9,7.8,17.6,0.905,0.089,1,1.92,
B,2/10/1972,1972,40,10,26,15.5,1.03,0.105,1,2,
B,1/5/1973,1973,18,5,10,10.4,0.545,0.052,1.6,1.3,3416
B,7/5/1973,1973,18,5,9.2,12.8,0.55,0.0395,2,1.11,8108
B,14/05/1973,1973,20,5,7.2,13.5,0.51,0.038,2.1,1.17,5765
B,22/05/1973,1973,20,5,6,13.7,0.525,0.036,1.8,0.89,2450
B,29/05/1973,1973,22,5,6,15.2,0.49,0.044,1.7,1.1,5142
B,4/6/1973,1973,22,6,4.2,16.9,0.45,0.0365,2,0.84,2139
B,11/6/1973,1973,24,6,7.4,21.4,0.455,0.0415,1.7,1.23,5638
B,18/06/1973,1973,24,6,14,20,0.615,0.0765,1.1,1.15,7063
B,25/06/1973,1973,26,6,18,21.6,0.615,0.056,1.4,1.54,5700
B,3/7/1973,1973,26,7,34,24.6,0.755,0.06,1.3,1.84,4598
B,9/7/1973,1973,28,7,43,24.7,0.925,0.1095,0.9,2.09,10135
B,16/07/1973,1973,28,7,29,23,0.9,0.0835,1,2.09,34534
B,23/07/1973,1973,30,7,14,24,0.73,0.0635,1.3,1.84,4792
B,30/07/1973,1973,30,7,56,24.4,1.35,0.13,0.8,2.3,14260
B,7/8/1973,1973,32,8,72,24.6,1.05,0.13,0.9,2.19,10682
B,13/08/1973,1973,32,8,68,25,1.145,0.13,0.8,2.42,15875
B,20/08/1973,1973,34,8,37,24.8,1.35,0.1245,0.9,2.19,9153
B,27/08/1973,1973,34,8,50,23.5,0.925,0.089,0.9,2.42,12466
B,4/9/1973,1973,36,9,140,26.4,1.05,0.0905,0.9,1.92,6486
B,10/9/1973,1973,36,9,110,21,1.55,0.16,0.8,2.71,25355
B,17/09/1973,1973,38,9,90,17.6,1.2,0.135,0.8,2.56,13412
B,24/09/1973,1973,38,9,64,15.4,1.3,0.14,0.9,2.56,11295
B,1/10/1973,1973,40,10,56,16.5,1.1,0.15,1,2.3,11105
B,9/10/1973,1973,40,10,60,16,1.3,0.1095,0.9,2.19,16475
B,6/5/1974,1974,18,5,13,11.9,0.495,0.0435,0.9,1.46,4607
B,13/05/1974,1974,20,5,8.5,10.4,0.47,0.0355,1.1,1.67,6332
B,21/05/1974,1974,20,5,7.2,14.6,0.685,0.031,1.8,1.42,9883
B,27/05/1974,1974,22,5,12,17,0.47,0.0375,2.2,1.14,6034
B,3/6/1974,1974,22,6,5.6,18.5,0.435,0.0315,2.1,1.11,
B,10/6/1974,1974,24,6,6.3,21.8,0.51,0.049,1.7,1.08,2578
B,17/06/1974,1974,24,6,7.9,19.8,0.545,0.0605,1.2,1.44,7471
B,24/06/1974,1974,26,6,8.7,19.9,0.795,0.0735,1.3,1.51,7836
B,2/7/1974,1974,26,7,18.5,20.3,0.715,0.0825,1,2,7818
B,8/7/1974,1974,28,7,14.8,22.9,0.655,0.0665,1,1.59,5015
B,15/07/1974,1974,28,7,30,23.6,0.77,0.0825,1.1,1.92,9983
B,22/07/1974,1974,30,7,32.5,22.7,0.755,0.103,0.6,1.95,41535
B,29/07/1974,1974,30,7,33,22.7,0.735,0.0805,1,2.05,12923
B,6/8/1974,1974,32,8,13.8,22.5,1.145,0.175,0.8,2.42,17821
B,12/8/1974,1974,32,8,23,22.9,0.885,0.105,0.8,2.3,20908
B,19/08/1974,1974,34,8,16.3,23.3,0.88,0.096,1,1.96,12340
B,26/08/1974,1974,34,8,22,23.4,0.825,0.0665,0.9,2.05,7918
B,3/9/1974,1974,36,9,17.5,20.3,1.1,0.155,0.7,2.88,14682
B,9/9/1974,1974,36,9,51.5,19.9,1.2,0.115,0.8,2.79,
B,16/09/1974,1974,38,9,66,19.1,1.5,0.15,0.7,2.71,33933
B,23/09/1974,1974,38,9,28,16.1,1.55,0.155,0.8,2.53,13155
B,30/09/1974,1974,40,9,25,14.3,1.3,0.13,0.8,3.18,8270
B,7/10/1974,1974,40,10,33,11.7,0.965,0.0885,0.8,3.18,15274
B,12/5/1975,1975,18,5,14,14.7,0.49,0.0625,1.5,1.5,6064
B,20/05/1975,1975,20,5,6.1,18.4,0.525,0.022,1.8,0.82,2260
B,26/05/1975,1975,20,5,5,22,0.435,0.028,2,1.02,4631
B,2/6/1975,1975,22,6,19,20,0.545,0.066,1.2,1.44,11873
B,9/6/1975,1975,22,6,32,18.8,0.705,0.088,1,2.07,17823
B,16/06/1975,1975,24,6,21,20.9,0.625,0.0775,0.8,1.96,10976
B,23/06/1975,1975,24,6,10.3,23.6,0.71,0.066,1.2,1.71,9286
B,1/7/1975,1975,26,7,19,25,0.64,0.0655,1.2,1.3,15119
B,7/7/1975,1975,26,7,22,26.7,0.82,0.071,0.9,2,9455
B,14/07/1975,1975,28,7,53,24.1,0.895,0.135,0.8,2.42,32059
B,21/07/1975,1975,28,7,53,24.3,0.89,0.12,0.7,2.56,20937
B,28/07/1975,1975,30,7,,21.8,1.05,0.14,0.6,2.71,26469
B,5/8/1975,1975,32,8,43,24.4,0.91,0.105,0.7,2.63,20446
B,11/8/1975,1975,32,8,64,22.8,1.1,0.13,0.6,2.56,36398
B,18/08/1975,1975,32,8,55,22.7,1.35,0.13,0.6,3.07,17684
B,25/08/1975,1975,34,8,41,21.2,1.04,0.125,0.7,2.14,21369
B,2/9/1975,1975,36,9,49,19.4,1.2,0.135,0.7,2.42,12532
B,8/9/1975,1975,36,9,41,18.2,0.98,0.11,0.7,2.09,14944
B,15/09/1975,1975,36,9,44,15.8,1.05,0.12,0.8,1.54,12193
B,22/09/1975,1975,38,9,48,16,1,0.087,0.8,1.44,22314
B,29/09/1975,1975,38,9,45,14.8,0.91,0.078,0.9,2.14,13374
B,6/10/1975,1975,40,10,41,12.9,0.99,0.092,0.7,1.51,15613
B,3/2/1976,1976,4,2,15,,,,,,
B,22/04/1976,1976,16,4,24,,0.615,0.047,1.2,,13468
B,27/04/1976,1976,16,4,8.4,,0.595,0.0385,1.6,,8949
B,3/5/1976,1976,18,5,22,11.2,0.69,0.0475,1,1.64,
B,11/5/1976,1976,18,5,19,10.8,0.495,0.0295,1.2,1.25,
B,17/05/1976,1976,20,5,12,13.5,0.525,0.032,1.5,1.44,
B,25/05/1976,1976,20,5,9.5,12.7,0.31,0.018,1.6,1.02,6712
B,31/05/1976,1976,22,5,5.8,17.8,0.46,0.033,1.9,0.75,1567
B,7/6/1976,1976,22,6,7.9,19.3,0.505,0.0455,1.5,1.32,8338
B,14/06/1976,1976,24,6,21,20.6,0.675,0.073,1,2,6234
B,21/06/1976,1976,24,6,19,21.8,0.7,0.0645,1.2,1.77,4051
B,28/06/1976,1976,26,6,29,22.9,0.96,0.089,1.1,2.19,8988
B,5/7/1976,1976,26,7,43,22.5,0.925,0.0695,1.1,2,14680
B,12/7/1976,1976,28,7,36,22.7,0.88,0.0745,0.9,2,9432
B,19/07/1976,1976,28,7,56,21.5,0.86,0.092,0.9,2.71,20756
