x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.4.19,1964-04-19 00:00:00,ON,1964,4,19,4.7,,0,,9.4,,0,,0,,0,,0,,0,,0,,0,,13.3,,28,,64,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.4.20,1964-04-20 00:00:00,ON,1964,4,20,5.3,,3.9,,6.7,,2.3,,2.3,,0,,0,,11,,40,,0,,12.7,,40,,95,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.4.21,1964-04-21 00:00:00,ON,1964,4,21,5.9,,2.8,,8.9,,2,,2,,0,,0,,14,,37,,0,,12.1,,68,,87,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.4.22,1964-04-22 00:00:00,ON,1964,4,22,10.3,,4.4,,16.1,,25.7,,25.7,,0,,0,,16,,37,,0,,7.7,,66,,96,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.4.23,1964-04-23 00:00:00,ON,1964,4,23,5.3,,2.2,,8.3,,0,,0,,0,,0,,29,,58,,0,,12.7,,64,,79,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.4.24,1964-04-24 00:00:00,ON,1964,4,24,5.3,,2.2,,8.3,,0,,0,,0,,0,,0,,0,,0,,12.7,,54,,90,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.4.25,1964-04-25 00:00:00,ON,1964,4,25,6.4,,1.1,,11.7,,0,,0,,0,,0,,0,,0,,0,,11.6,,57,,92,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.4.26,1964-04-26 00:00:00,ON,1964,4,26,8.6,,-0.6,,17.8,,0,,0,,0,,0,,0,,0,,0,,9.4,,37,,97,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.4.27,1964-04-27 00:00:00,ON,1964,4,27,11.4,,3.3,,19.4,,0,T,0,T,0,,0,,11,,34,,0,,6.6,,37,,93,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.4.28,1964-04-28 00:00:00,ON,1964,4,28,14.7,,11.1,,18.3,,1.8,,1.8,,0,,0,,9,,34,,0,,3.3,,71,,93,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.4.29,1964-04-29 00:00:00,ON,1964,4,29,10.3,,7.8,,12.8,,13,,13,,0,,0,,9,,45,,0,,7.7,,53,,92,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.4.30,1964-04-30 00:00:00,ON,1964,4,30,7.5,,4.4,,10.6,,18.8,,18.8,,0,,0,,11,,37,,0,,10.5,,75,,94,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.1,1964-05-01 00:00:00,ON,1964,5,1,10,,8.3,,11.7,,0.3,,0.3,,0,,0,,0,,0,,0,,8,,65,,87,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.2,1964-05-02 00:00:00,ON,1964,5,2,12.8,,7.2,,18.3,,0,,0,,0,,0,,0,,0,,0,,5.2,,38,,89,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.3,1964-05-03 00:00:00,ON,1964,5,3,11.1,,4.4,,17.8,,0,,0,,0,,0,,0,,0,,0,,6.9,,39,,87,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.4,1964-05-04 00:00:00,ON,1964,5,4,12.8,,5,,20.6,,0,,0,,0,,0,,0,,0,,0,,5.2,,35,,83,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.5,1964-05-05 00:00:00,ON,1964,5,5,15.3,,6.1,,24.4,,0,,0,,0,,0,,0,,0,,0,,2.7,,42,,87,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.6,1964-05-06 00:00:00,ON,1964,5,6,18.4,,12.8,,23.9,,0,,0,,0,,0,,0,,0,,0.4,,0,,46,,79,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.7,1964-05-07 00:00:00,ON,1964,5,7,19.5,,13.3,,25.6,,0,T,0,T,0,,0,,23,,43,,1.5,,0,,52,,83,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.8,1964-05-08 00:00:00,ON,1964,5,8,18.4,,13.9,,22.8,,0.5,,0.5,,0,,0,,25,,55,,0.4,,0,,70,,98,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.9,1964-05-09 00:00:00,ON,1964,5,9,15,,10,,20,,0.3,,0.3,,0,,0,,25,,106,,0,,3,,48,,96,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.10,1964-05-10 00:00:00,ON,1964,5,10,13.3,,9.4,,17.2,,0,,0,,0,,0,,29,,76,,0,,4.7,,50,,79,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.11,1964-05-11 00:00:00,ON,1964,5,11,13.4,,6.7,,20,,0,,0,,0,,0,,23,,42,,0,,4.6,,45,,85,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.12,1964-05-12 00:00:00,ON,1964,5,12,13.4,,5.6,,21.1,,0,,0,,0,,0,,0,,0,,0,,4.6,,26,,93,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.13,1964-05-13 00:00:00,ON,1964,5,13,15.9,,8.9,,22.8,,15.2,,15.2,,0,,0,,2,,77,,0,,2.1,,48,,89,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.14,1964-05-14 00:00:00,ON,1964,5,14,10,,3.3,,16.7,,3,,3,,0,,0,,2,,64,,0,,8,,44,,92,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.15,1964-05-15 00:00:00,ON,1964,5,15,9.5,,2.2,,16.7,,0,,0,,0,,0,,20,,32,,0,,8.5,,39,,92,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.16,1964-05-16 00:00:00,ON,1964,5,16,15,,9.4,,20.6,,8.1,,8.1,,0,,0,,25,,40,,0,,3,,55,,96,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.17,1964-05-17 00:00:00,ON,1964,5,17,13.9,,6.7,,21.1,,0,T,0,T,0,,0,,20,,43,,0,,4.1,,42,,100,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.18,1964-05-18 00:00:00,ON,1964,5,18,15.3,,10,,20.6,,0,T,0,T,0,,0,,20,S,34,,0,,2.7,,49,,83,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.19,1964-05-19 00:00:00,ON,1964,5,19,21.1,,12.8,,29.4,,0.3,,0.3,,0,,0,,29,,85,,3.1,,0,,34,,80,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.20,1964-05-20 00:00:00,ON,1964,5,20,10.3,,3.9,,16.7,,0,,0,,0,,0,,36,,47,,0,,7.7,,32,,91,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.21,1964-05-21 00:00:00,ON,1964,5,21,8.9,,1.7,,16.1,,0,,0,,0,,0,,23,,32,,0,,9.1,,40,,89,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.22,1964-05-22 00:00:00,ON,1964,5,22,18.4,,11.7,,25,,0.5,,0.5,,0,,0,,25,,56,,0.4,,0,,45,,72,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.23,1964-05-23 00:00:00,ON,1964,5,23,21.7,,16.7,,26.7,,0,,0,,0,,0,,23,,48,,3.7,,0,,53,,79,
-77.53333333333333,44.11666666666667,TRENTON A,6158875,6158875.1964.5.24,1964-05-24 00:00:00,ON,1964,5,24,18.6,,13.3,,23.9,,5.1,,5.1,,0,,0,,25,,58,,0.6,,0,,65,,98,
